trade_id,settlement_date,trade_time,trade_type,bond_type,bond_name,seller,seller_trader,buyer,buyer_trader,net_price,yield_rate,nominal_amount,settlement_amount,trade_date
TR577770,2023-03-24,2023-03-24 13:15:32,RFQ,国债,债券B,机构A,交易员3,机构D,交易员5,104.89,3.21,2150,2255.14,2023-03-24
TR265170,2023-04-05,2023-04-05 10:52:41,Negotiate,政策性金融债,债券B,机构C,交易员1,机构D,交易员1,96.02,3.0,6333,6080.95,2023-04-05
TR539141,2023-12-24,2023-12-24 13:46:31,RFQ,企业债,债券C,机构B,交易员2,机构C,交易员2,98.3,4.93,5144,5056.55,2023-12-24
TR541984,2023-07-09,2023-07-09 16:05:06,RFQ,政策性金融债,债券C,机构B,交易员1,机构E,交易员4,104.19,3.63,3378,3519.54,2023-07-09
TR443244,2023-11-12,2023-11-12 12:42:39,RFQ,企业债,债券D,机构C,交易员1,机构D,交易员1,101.29,3.56,5866,5941.67,2023-11-12
TR153079,2023-12-15,2023-12-15 15:29:20,Negotiate,政策性金融债,债券A,机构D,交易员3,机构B,交易员3,96.41,3.41,2042,1968.69,2023-12-15
TR290820,2023-10-22,2023-10-22 09:34:45,Negotiate,企业债,债券C,机构C,交易员2,机构A,交易员5,100.13,3.2,4501,4506.85,2023-10-22
TR950478,2023-04-30,2023-04-30 09:13:25,Negotiate,国债,债券C,机构E,交易员2,机构A,交易员2,96.39,3.84,2367,2281.55,2023-04-30
TR813996,2023-06-03,2023-06-03 15:22:51,RFQ,政策性金融债,债券E,机构C,交易员5,机构B,交易员4,104.78,3.31,1759,1843.08,2023-06-03
TR446755,2023-06-07,2023-06-07 11:26:37,Negotiate,国债,债券B,机构E,交易员5,机构D,交易员1,101.28,2.95,3100,3139.68,2023-06-07
TR794822,2023-11-13,2023-11-13 15:58:44,RFQ,国债,债券C,机构E,交易员2,机构A,交易员5,95.83,3.11,2271,2176.3,2023-11-13
TR932174,2023-06-28,2023-06-28 15:53:16,Negotiate,政策性金融债,债券E,机构A,交易员1,机构E,交易员3,99.26,4.07,2345,2327.65,2023-06-28
TR751099,2023-03-11,2023-03-11 10:55:03,RFQ,政策性金融债,债券B,机构C,交易员4,机构E,交易员3,100.37,4.5,3119,3130.54,2023-03-11
TR833200,2023-12-12,2023-12-12 16:30:27,RFQ,企业债,债券E,机构B,交易员5,机构A,交易员2,97.59,4.87,1298,1266.72,2023-12-12
TR482353,2023-07-02,2023-07-02 13:39:11,Negotiate,国债,债券C,机构A,交易员1,机构E,交易员3,102.43,4.24,9553,9785.14,2023-07-02
TR573054,2023-11-30,2023-11-30 12:19:01,RFQ,企业债,债券A,机构E,交易员3,机构D,交易员3,95.42,3.54,8903,8495.24,2023-11-30
TR680840,2023-11-22,2023-11-22 12:57:23,Negotiate,政策性金融债,债券D,机构C,交易员2,机构D,交易员5,98.9,2.56,8320,8228.48,2023-11-22
TR310425,2023-01-23,2023-01-23 16:21:07,Negotiate,国债,债券C,机构D,交易员4,机构A,交易员5,96.83,3.21,5504,5329.52,2023-01-23
TR525301,2023-05-29,2023-05-29 10:54:52,RFQ,政策性金融债,债券B,机构B,交易员5,机构D,交易员5,99.31,3.2,7122,7072.86,2023-05-29
TR715649,2023-12-07,2023-12-07 14:13:11,Negotiate,政策性金融债,债券D,机构D,交易员5,机构B,交易员3,103.81,3.49,5628,5842.43,2023-12-07
TR750202,2023-07-20,2023-07-20 09:20:21,RFQ,企业债,债券D,机构A,交易员1,机构D,交易员4,100.79,3.68,8909,8979.38,2023-07-20
TR925315,2023-08-21,2023-08-21 10:04:39,Negotiate,企业债,债券C,机构A,交易员1,机构E,交易员1,99.72,3.1,3459,3449.31,2023-08-21
TR443980,2023-05-02,2023-05-02 16:11:42,RFQ,政策性金融债,债券A,机构B,交易员1,机构D,交易员3,101.87,4.7,7598,7740.08,2023-05-02
TR774668,2023-05-30,2023-05-30 11:15:22,RFQ,国债,债券E,机构B,交易员4,机构D,交易员3,103.89,3.18,3991,4146.25,2023-05-30
TR688557,2023-07-12,2023-07-12 09:25:19,RFQ,企业债,债券E,机构E,交易员1,机构A,交易员3,102.1,4.16,3333,3402.99,2023-07-12
TR616172,2023-10-30,2023-10-30 16:28:16,Negotiate,企业债,债券E,机构A,交易员3,机构D,交易员5,103.64,3.48,6684,6927.3,2023-10-30
TR361620,2023-02-15,2023-02-15 09:58:30,RFQ,企业债,债券C,机构A,交易员4,机构E,交易员1,97.39,4.4,6272,6108.3,2023-02-15
TR815418,2023-10-02,2023-10-02 16:52:32,Negotiate,政策性金融债,债券B,机构D,交易员5,机构B,交易员1,95.81,2.71,9740,9331.89,2023-10-02
TR682926,2023-06-02,2023-06-02 14:52:39,RFQ,政策性金融债,债券A,机构D,交易员3,机构C,交易员3,103.61,2.64,5466,5663.32,2023-06-02
TR304420,2023-01-03,2023-01-03 16:25:01,RFQ,政策性金融债,债券C,机构E,交易员2,机构B,交易员5,99.36,3.86,6303,6262.66,2023-01-03
TR883452,2023-02-21,2023-02-21 13:49:43,RFQ,政策性金融债,债券C,机构D,交易员3,机构B,交易员5,98.53,4.83,9491,9351.48,2023-02-21
TR671784,2023-03-12,2023-03-12 12:28:38,RFQ,企业债,债券D,机构E,交易员4,机构D,交易员4,101.37,4.91,9050,9173.99,2023-03-12
TR216870,2023-12-05,2023-12-05 16:23:19,Negotiate,国债,债券D,机构A,交易员2,机构E,交易员2,95.76,3.15,3594,3441.61,2023-12-05
TR585497,2023-08-31,2023-08-31 09:10:45,Negotiate,国债,债券B,机构C,交易员5,机构B,交易员3,95.98,2.56,2822,2708.56,2023-08-31
TR584227,2023-03-23,2023-03-23 16:07:16,Negotiate,企业债,债券E,机构C,交易员3,机构D,交易员4,100.79,3.84,5692,5736.97,2023-03-23
TR544949,2023-12-26,2023-12-26 13:25:49,RFQ,企业债,债券C,机构E,交易员4,机构C,交易员5,104.7,3.98,2983,3123.2,2023-12-26
TR482481,2023-08-21,2023-08-21 09:53:37,RFQ,政策性金融债,债券B,机构E,交易员1,机构D,交易员1,95.14,3.89,3818,3632.45,2023-08-21
TR337999,2023-02-22,2023-02-22 15:46:25,Negotiate,国债,债券D,机构A,交易员5,机构D,交易员1,99.49,2.86,2403,2390.74,2023-02-22
TR770414,2023-02-26,2023-02-26 14:08:11,RFQ,企业债,债券A,机构A,交易员3,机构D,交易员4,104.94,3.89,5443,5711.88,2023-02-26
TR389098,2023-12-26,2023-12-26 09:30:03,Negotiate,国债,债券C,机构B,交易员5,机构C,交易员1,100.64,4.95,3688,3711.6,2023-12-26
TR877138,2023-06-02,2023-06-02 11:25:03,Negotiate,企业债,债券C,机构B,交易员5,机构A,交易员4,101.41,3.51,7990,8102.66,2023-06-02
TR790408,2023-07-24,2023-07-24 13:36:24,RFQ,企业债,债券A,机构E,交易员1,机构A,交易员2,99.05,3.85,1921,1902.75,2023-07-24
TR293542,2023-01-22,2023-01-22 11:02:51,RFQ,政策性金融债,债券B,机构D,交易员4,机构E,交易员3,95.87,3.77,4216,4041.88,2023-01-22
TR962450,2023-05-27,2023-05-27 15:54:56,Negotiate,国债,债券E,机构B,交易员2,机构C,交易员3,95.62,3.13,2156,2061.57,2023-05-27
TR410847,2023-01-26,2023-01-26 13:07:08,RFQ,国债,债券D,机构D,交易员1,机构B,交易员3,103.14,3.29,9407,9702.38,2023-01-26
TR692814,2023-10-30,2023-10-30 16:15:40,RFQ,企业债,债券B,机构B,交易员5,机构E,交易员4,97.91,4.64,2335,2286.2,2023-10-30
TR964249,2023-02-15,2023-02-15 14:58:38,RFQ,企业债,债券D,机构E,交易员5,机构B,交易员4,103.37,4.64,9736,10064.1,2023-02-15
TR387197,2023-03-21,2023-03-21 14:36:29,RFQ,国债,债券B,机构E,交易员5,机构C,交易员4,97.32,4.12,7556,7353.5,2023-03-21
TR363274,2023-06-03,2023-06-03 15:32:04,RFQ,国债,债券B,机构A,交易员4,机构B,交易员1,103.08,3.28,4490,4628.29,2023-06-03
TR532004,2023-11-08,2023-11-08 09:14:15,Negotiate,政策性金融债,债券A,机构C,交易员2,机构B,交易员3,97.08,4.42,2493,2420.2,2023-11-08
TR435911,2023-07-11,2023-07-11 11:16:25,Negotiate,政策性金融债,债券D,机构B,交易员4,机构C,交易员1,97.92,3.9,5460,5346.43,2023-07-11
TR191433,2023-08-23,2023-08-23 13:58:51,Negotiate,政策性金融债,债券D,机构E,交易员1,机构C,交易员3,96.76,2.58,7270,7034.45,2023-08-23
TR707554,2023-09-04,2023-09-04 12:25:00,RFQ,政策性金融债,债券C,机构A,交易员4,机构B,交易员1,100.97,3.65,5928,5985.5,2023-09-04
TR146745,2023-04-05,2023-04-05 13:23:01,RFQ,国债,债券B,机构B,交易员2,机构C,交易员5,103.52,2.87,7549,7814.72,2023-04-05
TR161284,2023-06-19,2023-06-19 13:08:30,Negotiate,国债,债券D,机构C,交易员2,机构D,交易员3,97.05,2.9,2952,2864.92,2023-06-19
TR921352,2023-04-15,2023-04-15 12:17:10,RFQ,国债,债券D,机构E,交易员1,机构C,交易员5,101.01,4.48,9285,9378.78,2023-04-15
TR833896,2023-05-26,2023-05-26 15:49:37,RFQ,政策性金融债,债券C,机构A,交易员1,机构D,交易员4,104.19,4.84,8681,9044.73,2023-05-26
TR952475,2023-05-30,2023-05-30 10:34:11,Negotiate,企业债,债券E,机构D,交易员4,机构B,交易员3,95.24,4.11,2337,2225.76,2023-05-30
TR557523,2023-01-03,2023-01-03 10:26:41,RFQ,国债,债券C,机构E,交易员3,机构A,交易员4,102.22,3.28,9494,9704.77,2023-01-03
TR336288,2023-05-15,2023-05-15 15:59:53,RFQ,企业债,债券A,机构E,交易员1,机构C,交易员1,95.9,3.8,6371,6109.79,2023-05-15
TR969884,2023-06-04,2023-06-04 09:18:19,Negotiate,企业债,债券B,机构E,交易员5,机构B,交易员1,103.18,4.71,6341,6542.64,2023-06-04
TR918552,2023-09-19,2023-09-19 12:40:45,Negotiate,企业债,债券B,机构A,交易员2,机构C,交易员5,101.73,3.23,9161,9319.49,2023-09-19
TR891173,2023-11-21,2023-11-21 12:46:25,RFQ,国债,债券B,机构A,交易员2,机构E,交易员1,104.3,3.58,8054,8400.32,2023-11-21
TR975264,2023-09-09,2023-09-09 11:53:34,Negotiate,企业债,债券E,机构E,交易员1,机构C,交易员3,96.33,4.79,4962,4779.89,2023-09-09
TR631817,2023-01-20,2023-01-20 16:22:30,RFQ,政策性金融债,债券A,机构D,交易员1,机构B,交易员2,97.17,3.72,6056,5884.62,2023-01-20
TR738929,2023-05-03,2023-05-03 13:23:57,RFQ,国债,债券B,机构D,交易员1,机构E,交易员1,97.41,3.15,6955,6774.87,2023-05-03
TR920843,2023-01-04,2023-01-04 10:05:35,RFQ,政策性金融债,债券E,机构B,交易员5,机构E,交易员3,97.69,4.67,9543,9322.56,2023-01-04
TR689683,2023-02-06,2023-02-06 14:57:27,Negotiate,政策性金融债,债券B,机构B,交易员2,机构C,交易员4,96.46,3.16,5450,5257.07,2023-02-06
TR653710,2023-03-13,2023-03-13 16:43:21,Negotiate,政策性金融债,债券D,机构B,交易员1,机构C,交易员4,104.06,4.8,3348,3483.93,2023-03-13
TR178964,2023-07-05,2023-07-05 13:31:35,Negotiate,企业债,债券E,机构A,交易员5,机构C,交易员1,96.62,3.73,1923,1858.0,2023-07-05
TR705848,2023-09-14,2023-09-14 10:55:30,Negotiate,企业债,债券D,机构C,交易员1,机构D,交易员1,96.72,4.82,1731,1674.22,2023-09-14
TR367423,2023-12-17,2023-12-17 15:30:02,RFQ,国债,债券C,机构B,交易员5,机构E,交易员5,104.73,3.1,4072,4264.61,2023-12-17
TR586516,2023-09-13,2023-09-13 13:23:52,Negotiate,企业债,债券E,机构E,交易员5,机构D,交易员2,95.53,3.0,7249,6924.97,2023-09-13
TR662318,2023-02-26,2023-02-26 09:55:45,Negotiate,企业债,债券A,机构A,交易员4,机构E,交易员3,101.02,3.68,1918,1937.56,2023-02-26
TR215381,2023-08-29,2023-08-29 15:50:34,RFQ,企业债,债券A,机构E,交易员2,机构B,交易员5,100.15,3.24,1358,1360.04,2023-08-29
TR835496,2023-05-04,2023-05-04 14:08:00,Negotiate,企业债,债券A,机构C,交易员3,机构A,交易员3,104.23,4.73,5389,5616.95,2023-05-04
TR637576,2023-06-08,2023-06-08 14:45:37,RFQ,国债,债券A,机构D,交易员2,机构B,交易员2,97.39,3.74,9062,8825.48,2023-06-08
TR765219,2023-08-12,2023-08-12 14:41:52,Negotiate,企业债,债券A,机构A,交易员3,机构C,交易员4,96.79,4.21,9497,9192.15,2023-08-12
TR571878,2023-06-12,2023-06-12 10:51:25,RFQ,企业债,债券B,机构E,交易员4,机构C,交易员5,100.06,3.06,1659,1660.0,2023-06-12
TR801080,2023-02-02,2023-02-02 14:32:26,RFQ,企业债,债券D,机构A,交易员2,机构C,交易员4,98.3,4.2,5812,5713.2,2023-02-02
TR612788,2023-09-09,2023-09-09 16:28:59,RFQ,政策性金融债,债券A,机构D,交易员4,机构E,交易员5,99.16,2.71,6026,5975.38,2023-09-09
TR297106,2023-10-11,2023-10-11 13:29:36,Negotiate,政策性金融债,债券C,机构B,交易员5,机构C,交易员1,96.18,3.49,7553,7264.48,2023-10-11
TR445770,2023-01-03,2023-01-03 10:36:29,Negotiate,企业债,债券B,机构D,交易员2,机构A,交易员5,101.73,3.44,8838,8990.9,2023-01-03
TR916708,2023-10-18,2023-10-18 10:20:28,RFQ,企业债,债券A,机构D,交易员1,机构E,交易员5,104.81,3.85,5806,6085.27,2023-10-18
TR788401,2023-07-29,2023-07-29 15:59:34,RFQ,政策性金融债,债券D,机构E,交易员4,机构D,交易员3,99.19,3.35,8558,8488.68,2023-07-29
TR498497,2023-10-07,2023-10-07 13:06:37,Negotiate,政策性金融债,债券E,机构D,交易员4,机构B,交易员4,101.64,2.88,8228,8362.94,2023-10-07
TR546664,2023-12-19,2023-12-19 13:31:27,RFQ,国债,债券B,机构B,交易员4,机构A,交易员2,104.81,3.12,9671,10136.18,2023-12-19
TR465190,2023-09-03,2023-09-03 10:57:51,Negotiate,政策性金融债,债券D,机构E,交易员5,机构D,交易员3,95.37,3.3,3199,3050.89,2023-09-03
TR872842,2023-08-26,2023-08-26 09:54:13,Negotiate,政策性金融债,债券E,机构D,交易员2,机构C,交易员3,95.79,3.07,1343,1286.46,2023-08-26
TR821414,2023-10-26,2023-10-26 12:45:47,RFQ,企业债,债券C,机构D,交易员5,机构A,交易员4,100.44,4.17,2528,2539.12,2023-10-26
TR554696,2023-11-02,2023-11-02 13:47:29,RFQ,国债,债券D,机构D,交易员2,机构B,交易员5,97.65,3.05,6594,6439.04,2023-11-02
TR963455,2023-09-05,2023-09-05 14:16:34,RFQ,政策性金融债,债券C,机构C,交易员2,机构B,交易员5,103.87,3.33,6481,6731.81,2023-09-05
TR712898,2023-11-23,2023-11-23 11:24:09,Negotiate,企业债,债券A,机构E,交易员5,机构A,交易员3,96.28,2.99,1472,1417.24,2023-11-23
TR648556,2023-08-04,2023-08-04 15:42:37,RFQ,国债,债券C,机构C,交易员2,机构E,交易员1,97.19,2.7,4429,4304.55,2023-08-04
TR187347,2023-07-29,2023-07-29 14:13:32,Negotiate,企业债,债券D,机构B,交易员3,机构A,交易员1,100.48,3.7,9487,9532.54,2023-07-29
TR720272,2023-01-05,2023-01-05 10:30:53,RFQ,政策性金融债,债券B,机构B,交易员2,机构D,交易员4,95.0,2.74,8809,8368.55,2023-01-05
TR370099,2023-09-07,2023-09-07 12:46:16,Negotiate,国债,债券A,机构D,交易员3,机构B,交易员1,104.16,4.36,9331,9719.17,2023-09-07
TR578407,2023-11-04,2023-11-04 10:03:17,RFQ,政策性金融债,债券A,机构B,交易员5,机构C,交易员3,99.64,2.62,2984,2973.26,2023-11-04
TR860796,2023-09-19,2023-09-19 14:50:21,Negotiate,国债,债券B,机构C,交易员3,机构D,交易员2,102.04,2.73,3677,3752.01,2023-09-19
TR127167,2023-11-10,2023-11-10 10:09:52,RFQ,国债,债券A,机构B,交易员3,机构A,交易员5,97.66,4.0,3228,3152.46,2023-11-10
TR543097,2023-02-07,2023-02-07 09:13:08,Negotiate,政策性金融债,债券B,机构D,交易员1,机构C,交易员5,95.37,4.92,9351,8918.05,2023-02-07
TR759202,2023-04-30,2023-04-30 15:33:50,Negotiate,企业债,债券D,机构A,交易员3,机构D,交易员2,102.0,3.55,1712,1746.24,2023-04-30
TR264246,2023-06-25,2023-06-25 10:20:11,Negotiate,企业债,债券C,机构A,交易员1,机构D,交易员3,98.2,3.99,7013,6886.77,2023-06-25
TR677125,2023-05-27,2023-05-27 16:35:34,Negotiate,国债,债券A,机构B,交易员4,机构A,交易员5,99.42,4.3,5816,5782.27,2023-05-27
TR919400,2023-02-23,2023-02-23 12:40:27,Negotiate,企业债,债券D,机构A,交易员1,机构B,交易员5,99.52,4.61,6794,6761.39,2023-02-23
TR909318,2023-09-10,2023-09-10 13:59:11,Negotiate,企业债,债券C,机构C,交易员2,机构D,交易员2,102.87,4.55,9914,10198.53,2023-09-10
TR460964,2023-11-03,2023-11-03 11:54:42,Negotiate,企业债,债券B,机构E,交易员1,机构B,交易员1,103.4,2.76,7571,7828.41,2023-11-03
TR421308,2023-08-15,2023-08-15 14:15:02,RFQ,国债,债券D,机构A,交易员3,机构D,交易员4,96.67,4.81,6518,6300.95,2023-08-15
TR795736,2023-08-12,2023-08-12 14:16:49,Negotiate,企业债,债券A,机构C,交易员3,机构B,交易员5,96.96,4.71,9458,9170.48,2023-08-12
TR972106,2023-01-24,2023-01-24 09:04:09,RFQ,国债,债券C,机构E,交易员3,机构C,交易员1,99.17,2.62,3130,3104.02,2023-01-24
TR198033,2023-04-22,2023-04-22 13:32:07,RFQ,政策性金融债,债券D,机构D,交易员5,机构C,交易员3,103.42,4.75,6811,7043.94,2023-04-22
TR273063,2023-03-30,2023-03-30 14:26:38,Negotiate,国债,债券A,机构C,交易员2,机构D,交易员3,103.14,3.03,1626,1677.06,2023-03-30
TR564515,2023-03-17,2023-03-17 16:34:15,RFQ,国债,债券B,机构D,交易员3,机构A,交易员4,99.65,2.67,5776,5755.78,2023-03-17
TR462148,2023-03-19,2023-03-19 14:34:51,RFQ,国债,债券A,机构B,交易员3,机构E,交易员2,99.58,3.44,4629,4609.56,2023-03-19
TR965903,2023-05-05,2023-05-05 13:19:59,RFQ,企业债,债券B,机构E,交易员1,机构C,交易员2,101.22,3.59,6718,6799.96,2023-05-05
TR955840,2023-06-08,2023-06-08 10:55:21,RFQ,政策性金融债,债券D,机构D,交易员3,机构C,交易员4,97.03,4.26,7034,6825.09,2023-06-08
TR189457,2023-10-02,2023-10-02 09:02:45,RFQ,政策性金融债,债券D,机构B,交易员4,机构E,交易员3,101.61,3.01,2085,2118.57,2023-10-02
